Date,Close,High,Low,Open,Volume
,AEHL,AEHL,AEHL,AEHL,AEHL
2024-06-20,79.19999694824219,82.4000015258789,76.0,81.5999984741211,4345
2024-06-21,91.19999694824219,97.5999984741211,76.4000015258789,79.5999984741211,11338
2024-06-24,102.4000015258789,104.0,88.0,88.0,4873
2024-06-25,88.80000305175781,106.4000015258789,82.0,105.5999984741211,4505
2024-06-26,92.80000305175781,97.5999984741211,81.5999984741211,88.80000305175781,8620
2024-06-27,102.80000305175781,104.4000015258789,91.5999984741211,94.4000015258789,3408
2024-06-28,111.5999984741211,111.5999984741211,96.0,102.0,3030
2024-07-01,97.19999694824219,109.5999984741211,96.0,104.80000305175781,730
2024-07-02,106.0,111.5999984741211,94.80000305175781,96.4000015258789,6710
2024-07-03,115.19999694824219,128.0,97.5999984741211,104.0,14555
2024-07-05,124.80000305175781,132.0,108.0,115.19999694824219,10470
2024-07-08,150.39999389648438,160.0,124.80000305175781,126.0,26695
2024-07-09,144.8000030517578,190.0,96.4000015258789,158.0,64933
2024-07-10,218.39999389648438,229.60000610351562,142.0,142.0,47328
2024-07-11,238.39999389648438,256.3999938964844,212.39999389648438,227.60000610351562,45388
2024-07-12,202.0,255.60000610351562,180.0,222.39999389648438,24428
2024-07-15,206.8000030517578,223.60000610351562,196.0,204.39999389648438,4000
2024-07-16,162.39999389648438,231.1999969482422,161.60000610351562,206.0,12223
2024-07-17,145.60000610351562,172.0,134.39999389648438,163.60000610351562,14003
2024-07-18,144.39999389648438,153.60000610351562,133.1999969482422,146.39999389648438,3340
2024-07-19,149.1999969482422,168.0,138.8000030517578,146.0,14560
2024-07-22,153.1999969482422,178.39999389648438,140.0,167.1999969482422,15288
2024-07-23,148.8000030517578,155.60000610351562,140.8000030517578,148.39999389648438,13843
2024-07-24,159.60000610351562,175.1999969482422,146.0,154.8000030517578,16045
2024-07-25,166.0,178.8000030517578,149.60000610351562,160.0,23425
2024-07-26,166.39999389648438,176.0,141.1999969482422,162.8000030517578,21088
2024-07-29,157.1999969482422,193.1999969482422,152.0,163.1999969482422,29608
2024-07-30,157.1999969482422,164.0,130.0,157.60000610351562,17228
2024-07-31,165.60000610351562,179.1999969482422,115.5999984741211,156.0,38720
2024-08-01,166.39999389648438,174.0,152.39999389648438,163.60000610351562,13308
2024-08-02,170.0,172.8000030517578,160.39999389648438,165.60000610351562,6718
2024-08-05,152.39999389648438,167.60000610351562,151.1999969482422,164.0,14023
2024-08-06,140.8000030517578,155.1999969482422,140.0,152.0,12500
2024-08-07,102.4000015258789,148.39999389648438,98.0,142.0,9050
2024-08-08,120.0,126.0,99.19999694824219,101.5999984741211,1945
2024-08-09,118.4000015258789,120.4000015258789,108.0,109.5999984741211,1413
2024-08-12,113.19999694824219,119.5999984741211,108.80000305175781,119.5999984741211,795
2024-08-13,110.4000015258789,119.5999984741211,108.80000305175781,112.80000305175781,390
2024-08-14,106.4000015258789,113.19999694824219,105.19999694824219,110.4000015258789,683
2024-08-15,106.80000305175781,111.19999694824219,102.0,109.19999694824219,1060
2024-08-16,106.4000015258789,115.5999984741211,103.5999984741211,110.80000305175781,788
2024-08-19,110.80000305175781,112.80000305175781,105.19999694824219,108.80000305175781,1385
2024-08-20,127.19999694824219,167.60000610351562,107.19999694824219,112.80000305175781,108625
2024-08-21,127.5999984741211,145.60000610351562,125.19999694824219,127.19999694824219,53563
2024-08-22,95.19999694824219,143.1999969482422,78.0,138.0,106203
2024-08-23,87.19999694824219,119.19999694824219,84.0,95.19999694824219,98630
2024-08-26,87.5999984741211,97.5999984741211,76.4000015258789,88.4000015258789,7930
2024-08-27,91.5999984741211,96.80000305175781,86.4000015258789,87.19999694824219,5528
2024-08-28,78.80000305175781,92.80000305175781,76.80000305175781,92.80000305175781,5328
2024-08-29,82.80000305175781,86.80000305175781,76.80000305175781,82.4000015258789,3558
2024-08-30,93.5999984741211,93.5999984741211,78.4000015258789,83.5999984741211,3975
2024-09-03,78.80000305175781,89.5999984741211,78.0,89.5999984741211,4985
2024-09-04,78.0,84.0,74.80000305175781,78.80000305175781,1270
2024-09-05,74.0,82.0,66.80000305175781,76.80000305175781,3280
2024-09-06,74.0,77.5999984741211,70.80000305175781,74.80000305175781,1700
2024-09-09,72.4000015258789,76.80000305175781,68.4000015258789,74.0,3565
2024-09-10,66.0,75.19999694824219,64.80000305175781,72.0,3493
2024-09-11,60.400001525878906,69.19999694824219,60.0,66.0,3708
2024-09-12,31.600000381469727,60.400001525878906,26.399999618530273,59.599998474121094,31623
